YT IA Link,RT IA Link
https://archive.org/details/youtube--hR0SrH8a30,https://archive.org/details/roosterteeth-7026
https://archive.org/details/youtube--HS-c9UhYU0,https://archive.org/details/roosterteeth-11070
https://archive.org/details/youtube--hUPuToY-os,https://archive.org/details/roosterteeth-46946
https://archive.org/details/youtube--IafWtxX5GQ,https://archive.org/details/roosterteeth-35322
https://archive.org/details/youtube--ifpjL3CUP8,https://archive.org/details/roosterteeth-11186
https://archive.org/details/youtube--IGVKR21pyE,https://archive.org/details/roosterteeth-47756
https://archive.org/details/youtube--iOj5uTcA0w,https://archive.org/details/roosterteeth-45099
https://archive.org/details/youtube--IUlZ1HsrMc,https://archive.org/details/roosterteeth-13287
https://archive.org/details/youtube--ix-9cEd57I,https://archive.org/details/roosterteeth-49953
https://archive.org/details/youtube--IYV94gKwV0,https://archive.org/details/roosterteeth-39777
https://archive.org/details/youtube--IzLvA9AVA4,https://archive.org/details/roosterteeth-32882
https://archive.org/details/youtube--j_VcsTtLBE,https://archive.org/details/roosterteeth-3968
https://archive.org/details/youtube--J-RALfp0WM,https://archive.org/details/roosterteeth-8639
https://archive.org/details/youtube--j6DsfBC1-g,https://archive.org/details/roosterteeth-22776
https://archive.org/details/youtube--jlRerWavtU,https://archive.org/details/roosterteeth-639
https://archive.org/details/youtube--jm3nhorS3o,https://archive.org/details/roosterteeth-44270
https://archive.org/details/youtube--jPtdK6Cp4w,https://archive.org/details/roosterteeth-42251
https://archive.org/details/youtube--jSGvB006AM,https://archive.org/details/roosterteeth-27436
https://archive.org/details/youtube--Ju1sdRJdmI,https://archive.org/details/roosterteeth-11057
https://archive.org/details/youtube--JXxmFnl83M,https://archive.org/details/roosterteeth-44155
https://archive.org/details/youtube--JYKJoJdBD8,https://archive.org/details/roosterteeth-45216
https://archive.org/details/youtube--jYo-1xBZS0,https://archive.org/details/roosterteeth-24623
https://archive.org/details/youtube--k8SdOTZz_Q,https://archive.org/details/roosterteeth-10319
https://archive.org/details/youtube--kCeW_V0ZeM,https://archive.org/details/roosterteeth-46960
https://archive.org/details/youtube--kt0LhFKYYI,https://archive.org/details/roosterteeth-40428
https://archive.org/details/youtube--KwpVG62cUY,https://archive.org/details/roosterteeth-29401
https://archive.org/details/youtube--l4_sLgY9FU,https://archive.org/details/roosterteeth-36069
https://archive.org/details/youtube--LBmeAs_hoA,https://archive.org/details/roosterteeth-29130
https://archive.org/details/youtube--Lni1_JQpjI,https://archive.org/details/roosterteeth-50832
https://archive.org/details/youtube--LPCY38ccxk,https://archive.org/details/roosterteeth-22796
https://archive.org/details/youtube--ma5OquANV8,https://archive.org/details/roosterteeth-42762
https://archive.org/details/youtube--MEkHrwP08Y,https://archive.org/details/roosterteeth-39623
https://archive.org/details/youtube--mKs-LKWzbU,https://archive.org/details/roosterteeth-46070
https://archive.org/details/youtube--mVaroFgRKo,https://archive.org/details/roosterteeth-52530
https://archive.org/details/youtube--MYSMvKjeys,https://archive.org/details/roosterteeth-43038
https://archive.org/details/youtube--N6P75-EDeo,https://archive.org/details/roosterteeth-10596
https://archive.org/details/youtube--Nv9Tll6b6A,https://archive.org/details/roosterteeth-1508-bonus
https://archive.org/details/youtube--o_-E_te4gQ,https://archive.org/details/roosterteeth-51666
https://archive.org/details/youtube--O4ENkzhFAI,https://archive.org/details/roosterteeth-11768
https://archive.org/details/youtube--oj1xnXRclw,https://archive.org/details/roosterteeth-25402
https://archive.org/details/youtube--osktOVHmcY,https://archive.org/details/roosterteeth-50856
https://archive.org/details/youtube--osxtqxfUs8,https://archive.org/details/roosterteeth-30221
https://archive.org/details/youtube--OT7iJOl7Z0,https://archive.org/details/roosterteeth-39725
https://archive.org/details/youtube--OZWa_jSNuk,https://archive.org/details/roosterteeth-36861
https://archive.org/details/youtube--P-rXwaCr3k,https://archive.org/details/roosterteeth-17526
https://archive.org/details/youtube--P-yFvAE8bM,https://archive.org/details/roosterteeth-40403
https://archive.org/details/youtube--P99-JLVa1w,https://archive.org/details/roosterteeth-34932
https://archive.org/details/youtube--PGKIAq-3vM,https://archive.org/details/roosterteeth-38406
https://archive.org/details/youtube--Pk5doQdlxY,https://archive.org/details/roosterteeth-20911
https://archive.org/details/youtube--pkEvHDr9f8,https://archive.org/details/roosterteeth-7563
https://archive.org/details/youtube--PPmQUCKXrE,https://archive.org/details/roosterteeth-38475
https://archive.org/details/youtube--ppNtLxCJi8,https://archive.org/details/roosterteeth-35041
https://archive.org/details/youtube--PW2z0Z5B6s,https://archive.org/details/roosterteeth-36386
https://archive.org/details/youtube--PxAlXfcxGM,https://archive.org/details/roosterteeth-34154
https://archive.org/details/youtube--PXGToiYxnk,https://archive.org/details/roosterteeth-23708
https://archive.org/details/youtube--qcYtqU1Bx4,https://archive.org/details/roosterteeth-36875
https://archive.org/details/youtube--qp0koRPrjc,https://archive.org/details/roosterteeth-33392
https://archive.org/details/youtube--QrRL_6aC-8,https://archive.org/details/roosterteeth-48803
https://archive.org/details/youtube--qUbE_U94P4,https://archive.org/details/roosterteeth-30277
